Title,	Address,	Latitude,	Longitude,	maddress,	status,	geocoder,	Website 													
Fireside North the website is http://firehouseartcollective.blogspot.com/	,	1790 Shattuck Ave Berkeley CA 94709,	37.874977,	-122.268929,	1790 Shattuck Ave Berkeley CA 94709,	Match,	Google, http://firehouseartcollective.blogspot.com/														
Ames Gallery the website is http://www.amesgallery.com/, 	2661 Cedar St Berkeley CA 94708,	37.880036,	-122.257935,	2661 Cedar St Berkeley CA 94708,	Match,	Google, http://www.amesgallery.com/														
ACCI Gallery the website is http://www.accigallery.com/, 	1652 Shattuck Ave Berkeley CA 94709,	37.877329,	-122.269309,	1652 Shattuck Ave Berkeley CA 94709,	Partial Match,	Google, http://www.accigallery.com/														
Berkeley Art Center the website is http://www.berkeleyartcenter.org/	,	1275 Walnut St Berkeley CA 94709,	37.884510,	-122.268235,	1275 Walnut St Berkeley CA 94709,	Partial Match,	Google, http://www.berkeleyartcenter.org/														
Art House Gallery and Cultural Center the website is berkeleyarthouse.wordpress.com,	2905 Shattuck Ave Berkeley CA 94705,	37.856434,	-122.266362,	2905 Shattuck Ave Berkeley CA 94705,	Match,	Google,	berkeleyarthouse.wordpress.com													
Expressions Gallery the website is http://www.expressionsgallery.org/,	2035 Ashby Ave Berkeley CA 94703,	37.855330,	-122.268031,	2035 Ashby Ave Berkeley CA 94703,	Partial Match,	Google, http://www.expressionsgallery.org/														
Thousand Oaks Art Gallery the website is http://www.thousandoaksartgallery.com/,	1749 Solano Ave Berkeley CA 94707,	37.891497,	-122.280972,	1749 Solano Ave Berkeley CA 94707,	Match,	Google, http://www.thousandoaksartgallery.com/														
Kala Art Gallery the website is http://www.kala.org/,	2990 San Pablo Ave Berkeley CA 94702,	37.853084,	-122.287444,	2990 San Pablo Ave Berkeley CA 94702,	Match,	Google, http://www.kala.org/														
TRICKSTER the website is https://trickstertrickster.com,	2631 Ashby Ave Berkeley CA 94705,	37.857194,	-122.253571,	2631 Ashby Ave Berkeley CA 94705,	Match,	Google, https://trickstertrickster.com														
Trax Ceramics Gallery the website is https://traxgallery.com/,	1812 Fifth Street Berkeley CA 94710,	37.869703,	-122.299732,	1812 Fifth Street Berkeley CA 94710,	Match,	Google, https://traxgallery.com/														
Shibumi Gallery the website is https://www.shibumigallery.com/, 	1402 Fifth Street Berkeley CA 94710,	37.877210,	-122.302118,	1402 Fifth Street Berkeley CA 94710,	Match,	Google, https://www.shibumigallery.com/														
Cecile Moochnek Gallery the website is http://www.cecilemoochnek.com/,	1809 Fourth St # B Berkeley CA 94710,	37.869740,	-122.300316,	1809 Fourth St # B Berkeley CA 94710,	Match,	Google, http://www.cecilemoochnek.com/														
4th Street Fine Art the website is http://www.4thstreetfineart.com/, 	Fourth St Berkeley CA 94710,	37.870162,	-122.300692,	Fourth St Berkeley CA 94710,	Match,	Google, http://www.4thstreetfineart.com/
Lumbini Buddhist Art Gallery the website is https://www.thankawisdom.com/,	2177 Bancroft Way Berkeley CA 94704,	37.867905,	-122.266846,	2177 Bancroft Way Berkeley CA 94704,	Match,	Google, https://www.thankawisdom.com/														
Center for the Arts & Religion the website is http://www.care-gtu.org/,	2465 Le Conte Ave Berkeley CA 94709,	37.877104,	-122.261334,	2465 Le Conte Ave Berkeley CA 94709,	Match,	Google, http://www.care-gtu.org/														
BAMPFA is a large scale art gallery specialising in contemporary installation The space also houses the Pacific Film archive has an open library space and a cafe It is closely tied to the University of California Berkeley Price of entry $10 regular free for students Opening times 10 until 6 https://bampfa.org/ ,	2155 Center St Berkeley CA 94720,	37.870809,	-122.266422,	2155 Center St Berkeley CA 94720,	Match,	Google, https://bampfa.org/														
Traywick Contemporary the website is http://www.traywick.com/,	895 Colusa Ave Berkeley CA 94707,	37.891881,	-122.279754,	895 Colusa Ave Berkeley CA 94707,	Match,	Google, http://www.traywick.com/														
Oxtail Studio & Gallery the website is http://www.oxtailstudio.com/,	2976 Adeline St Berkeley CA 94703,	37.855066,	-122.269242,	2976 Adeline St Berkeley CA 94703,	Match,	Google, http://www.oxtailstudio.com/														
The Magnes Collection of Jewish Art and Life the website is http://magnes.berkeley.edu/, 2121 Allston Way Berkeley CA 94720, 37.869795, -122.266870, 2121 Allston Way Berkeley CA 94720, Match, Google, http://magnes.berkeley.edu/
Phoebe A. Hearst Museum of Anthropology the website is hearstmuseum.berkeley.edu, 103 Kroeber Hall Berkeley CA 94720, 37.869385, -122.255143, 103 Kroeber Hall Berkeley CA 94720, Match, Google, hearstmuseum.berkeley.edu
Habitot Children's Museum the website is habitot.org, 2065 Kittredge St Berkeley CA 94704, 37.868588, -122.268999, 2065 Kittredge St Berkeley CA 94704, Match, Google, habitot.org
